time_identifier,time_period,measure,school_type,country_code,country_name,number_of_appeals_lodged,number_of_appeals_heard,percentage_of_appeals_heard,number_determined_in_favour_of_the_parent/pupil,percentage_determined_in_favour_of_the_parent/pupil,number_where_reinstatement_was_directed,percentage_where_reinstatement_was_directed
Academic year,201112,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,417,397,95.20384,122,30.73048,35,28.68852
Academic year,201011,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,476,452,94.95798,120,26.54867,41,34.16667
Academic year,200910,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,518,474,91.50579,114,24.05063,31,27.19298
Academic year,200809,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,642,592,92.21184,149,25.16892,58,38.92617
Academic year,200708,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,775,705,90.96774,183,25.95745,64,34.97268
Academic year,200607,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1045,969,92.7,239,24.6646,95,39.74895
Academic year,200506,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1057,981,92.80984,236,24.05708,131,55.50847
Academic year,200405,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1088,1031,94.76103,222,21.53249,109,49.0991
Academic year,200304,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1132,1051,92.84452,223,21.21789,127,56.95067
Academic year,200203,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1074,990,92.17877,209,21.11111,149,71.29187
Academic year,200102,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1125,1060,94.22222,259,24.43396,:,:
Academic year,200001,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1095,983,89.77169,314,31.94303,:,:
Academic year,199900,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,948,863,91,317,36.7,:,:
Academic year,199899,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1216,964,79.27632,220,22.82158,:,:
Academic year,199798,Exclusion appeals,"LA maintained primary, secondary and special schools",E92000001,England,1287,1011,78.55478,204,20.17804,:,:
