"Figure 5: Younger people were more likely to have taken a drug in the last year than older people",""
"Proportion of people who reported using a drug in the last year by age, England and Wales, year ending (YE) December 1997 to YE March 2024",""
"",""
"Notes","1.    Data for 1997 and 1999 are for YE December. All other years are for YE March."
"Unit","Percentage"
"",""
"","16 to 19 years","20 to 24 years","25 to 29 years","30 to 34 years","35 to 44 years","45 to 54 years","55 to 59 years"
"Dec 1997","32.85376","30.92054416","20.64497","10.62390","6.054774419","3.121624474","1.31224956"
"Dec 1999","28.17296","31.27984","21.08893","12.47323","6.27907","3.24854","1.91628"
"Mar 2002","27.68141","29.13621","19.47999","12.47073","7.47021","3.50215","1.22304"
"Mar 2003","26.74107","29.82277","20.32174","13.84342","7.36643","3.59200","1.76118"
"Mar 2004","28.26115","28.55674","20.81129","13.12547","7.91529","3.92683","1.89941"
"Mar 2005","27.82449","27.01232","16.78832","13.17747","7.29616","3.37492","1.54055"
"Mar 2006","25.43674","24.62851","17.62554","11.75217","6.59505","2.94062","1.45630"
"Mar 2007","23.29627","24.79436","16.17806","11.21522","5.93073","2.98566","1.73633"
"Mar 2008","20.57740","21.92783","16.01514","10.85514","6.12514","2.73982","1.65673"
"Mar 2009","22.11848","22.66687","16.01906","11.35579","6.13365","3.10196","1.66335"
"Mar 2010","22.52204","18.15065","13.30196","8.90245","5.53022","2.52648","1.51405"
"Mar 2011","23.34188","18.62918","13.93524","8.82444","5.47515","2.75085","1.58124"
"Mar 2012","19.81399","19.14662","14.05509","10.32326","5.64262","3.12142","1.77899"
"Mar 2013","16.53978","15.93951","12.77700","8.60383","5.96833","3.55980","2.28360"
"Mar 2014","19.34182","18.90670","12.99935","9.33469","6.58632","3.47238","1.49233"
"Mar 2015","18.91749","19.85567","12.46276","8.16310","6.39404","3.20787","2.37068"
"Mar 2016","17.75274","18.20181","13.04074","8.60461","5.80684","3.54285","2.18643"
"Mar 2017","16.53367","21.01659","11.47118","8.78201","6.34060","3.38977","2.03126"
"Mar 2018","16.82929","21.83326","13.52373","9.08406","6.41042","4.05237","2.00727"
"Mar 2019","18.38328","21.71267","16.41699","9.30677","6.42971","4.04865","1.69134"
"Mar 2020","21.07712","20.98817","14.57005","8.40858","6.62839","4.10439","2.78687"
"Mar 2023","16.63930","18.38128","14.99950","10.97092","7.11965","5.28898","3.08075"
"Mar 2024","15.41348","17.30030","13.25529","10.31987","6.37653","5.26060","3.55632"
